"Subject"	"Survey"	"Notification.Status"	"Afraid"	"Scared"	"Nervous"	"Jittery"	"Irritable"	"Hostile"	"Guilty"	"Ashamed"	"Upset"	"Distressed"	"Active"	"Alert"	"Attentive"	"Determined"	"Excited"	"Inspired"	"Proud"	"Strong"	"Anxious"	"Worried"	"Restless"	"Depressed"	"Sad"	"Lonely"	"DiscrimCheck"	"DiscrimCheck_Type"	"DiscrimCheck_Other"	"DiscrimCheck_CategoryCode"	"DiscrimCheck_Time"	"DiscrimCheck_Cause"	"DiscrimCheck_PerpGender"	"DiscrimCheck_PerpRace"	"DiscrimCheck_PerpCategory"	"Date.Time.R"	"StartTime"	"diffTime"	"DayStudy"	"DayWeek"	"Occasion"	"PA_agg"	"NA_agg"	"Dep_agg"	"Anx_agg"	"PA_agg_nextPrompt"	"NA_agg_nextPrompt"	"Dep_agg_nextPrompt"	"Anx_agg_nextPrompt"	"PA_agg_prevPrompt"	"NA_agg_prevPrompt"	"Dep_agg_prevPrompt"	"Anx_agg_prevPrompt"	"DiscrimCheck.d"	"DayWeek.d"
1	"Random Prompt Survey"	"taken"	1	1	3	2	1	1	1	1	1	2	3	4	4	4	4	3	4	3	3	3	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/9/18 9:53"	"10/9/18 0:00"	9.897777778	1	"Tuesday"	1	3.62	1.4	1	2.33	3	1.3	1.33	1.67	NA	NA	NA	NA	0	1
1	"Random Prompt Survey"	"taken"	1	1	2	2	2	1	1	1	1	1	2	3	3	3	2	3	4	4	2	2	1	1	1	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/9/18 16:44"	"10/9/18 0:00"	16.74305556	1	"Tuesday"	2	3	1.3	1.33	1.67	2.88	1.4	1.67	1.67	3.62	1.4	1	2.33	0	1
1	"Random Prompt Survey"	"taken"	1	3	2	1	2	1	1	1	1	1	3	3	3	3	3	2	3	3	2	2	1	2	1	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/9/18 20:30"	"10/9/18 0:00"	20.50222222	1	"Tuesday"	3	2.88	1.4	1.67	1.67	NA	NA	NA	NA	3	1.3	1.33	1.67	0	1
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	5	5	4	5	5	5	5	1	1	1	1	1	2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/10/18 11:11"	"10/9/18 0:00"	35.18833333	2	"Wednesday"	4	4.75	1	1.33	1	4.12	1	1	1	NA	NA	NA	NA	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/10/18 15:03"	"10/9/18 0:00"	39.0525	2	"Wednesday"	5	4.12	1	1	1	4.12	1.2	1	1.67	4.75	1	1.33	1	0	2
1	"Random Prompt Survey"	"taken"	1	1	3	1	1	1	1	1	1	1	3	4	4	4	4	4	5	5	2	2	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/10/18 18:33"	"10/9/18 0:00"	42.565	2	"Wednesday"	6	4.12	1.2	1	1.67	NA	NA	NA	NA	4.12	1	1	1	0	2
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/11/18 16:12"	"10/9/18 0:00"	64.20805556	3	"Thursday"	7	3.12	1	1	1	4.12	1	1	1	NA	NA	NA	NA	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/11/18 20:15"	"10/9/18 0:00"	68.26361111	3	"Thursday"	8	4.12	1	1	1	NA	NA	NA	NA	3.12	1	1	1	0	3
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	2	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/12/18 15:49"	"10/9/18 0:00"	87.83055556	4	"Friday"	9	4	1	1	1.33	3.62	1	1	1	NA	NA	NA	NA	0	4
1	"Random Prompt Survey"	"taken"	1	1	1	1	1	1	1	1	1	1	3	3	4	4	3	4	4	4	1	1	1	1	1	1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"10/12/18 18:42"	"10/9/18 0:00"	90.70555556	4	"Friday"	10	3.62	1	1	1	NA	NA	NA	NA	4	1	1	1.33	0	4
